Dimension,Bucket,CorrectPredictions,TotalMatches,Accuracy
Division,8U - 10U,6,6,100
Division,8U 1st year,69,99,69.6969696969697
Division,8U B,50,85,58.82352941176471
Division,8U Boys,170,227,74.8898678414097
Division,8U Boys Folkstyle,21,33,63.63636363636363
Division,8U Boys Freestyle,113,153,73.8562091503268
Division,8U Boys GR,1,1,100
Division,8U Boys Greco-Roman,74,93,79.56989247311827
Division,8U F/S,6,7,85.71428571428571
Division,8U First Year,23,41,56.09756097560976
Division,8U FOLKSTYLE,10,12,83.33333333333334
Division,8U Folksytle,0,2,0
Division,8U Freestyle,27,39,69.23076923076923
Division,8U G/R,4,5,80
Division,8U Girls,25,35,71.42857142857143
Division,8U Girls Folkstyle,2,2,100
Division,8U Girls Freestyle,10,13,76.92307692307693
Division,8U Girls Greco-Roman,5,13,38.46153846153847
Division,8U Greco,1,2,50
Division,8U Greco-Roman,21,30,70
Division,8U Men,21,28,75
Division,8U NOVICE,672,866,77.59815242494227
Division,8U OPEN,288,348,82.75862068965517
Division,8U ROOKIE,63,82,76.82926829268293
Division,8u rookie/novice,58,72,80.55555555555556
Division,8U TB,2,3,66.66666666666666
Division,8U-10/u,23,24,95.83333333333334
Division,8u-10u,267,288,92.70833333333334
Division,8U-10U Boys,3,6,50
Division,8U/10U,22,30,73.33333333333333
Division,8U/10U Freestyle,23,33,69.6969696969697
Division,8U/10u Greco-Roman,8,11,72.72727272727273
Division,8UB,1,1,100
Division,9,1,2,50
Division,9 & 10,79,82,96.34146341463415
Division,9 and Under,30,37,81.08108108108108
Division,"9TH - 12TH ",351,519,67.63005780346822
Division,9th Annual,1,1,100
Division,9th Grade,173,237,72.9957805907173
Division,9th-12th grade boys,13,19,68.42105263157895
Division,9th-12th grade girls,6,6,100
Division,A event,41,58,70.6896551724138
Division,Advanced,241,325,74.15384615384616
Division,Ages 11 & 12,16,29,55.172413793103445
Division,Ages 13 & 14,25,28,89.28571428571429
Division,Ages 15 & 16,1,1,100
Division,Ages 6 & Under,6,7,85.71428571428571
Division,Ages 7 & 8,7,8,87.5
Division,Ages 9 & 10,19,23,82.6086956521739
Division,all,41,68,60.29411764705882
Division,All Weights,232,319,72.72727272727273
Division,All-Area,11,21,52.38095238095239
