Dimension,Bucket,CorrectPredictions,TotalMatches,Accuracy
Division,TB 12U,3,5,60
Division,TB 8U,1,3,33.33333333333333
Division,TB Middle School,1,3,33.33333333333333
Division,Teens Advanced (13-15 yrs),6,7,85.71428571428571
Division,Teens Beginner (13-15 yrs),6,10,60
Division,Teens Intermediate (13-15 yrs),5,10,50
Division,Test,9,9,100
Division,TOT,2477,2869,86.33670268386197
Division,Tot (6U),44,49,89.79591836734694
Division,TOT GIRLS,14,15,93.33333333333333
Division,TOT/6U,7,10,70
Division,TOTS,927,1027,90.26290165530672
Division,TOTS 2017- after,111,120,92.5
Division,TOTS 2017-After,188,209,89.95215311004785
Division,TOUGHNUTS,6,6,100
Division,U17 Men Beach,4,11,36.36363636363637
Division,U17 Womens Beach,6,7,85.71428571428571
Division,U20 Mens Beach,1,3,33.33333333333333
Division,USA 10U,43,49,87.75510204081633
Division,USA 12U,84,104,80.76923076923077
Division,USA 8U,29,38,76.31578947368422
Division,USA Cadet (16U),235,316,74.36708860759494
Division,USA Junior,143,211,67.77251184834124
Division,USA Junior Folkstyle,0,2,0
Division,USA Junior Freestyle,1,4,25
Division,USA Junior Greco,1,1,100
Division,USA Schoolboy (14U),155,184,84.23913043478261
Division,USAW 10U,23,35,65.71428571428571
Division,USAW 12U,18,23,78.26086956521739
Division,USAW 14U,32,44,72.72727272727273
Division,USAW 16U,21,28,75
Division,USAW 6U,6,9,66.66666666666666
Division,USAW 8U,14,19,73.68421052631578
Division,USAW Junior,4,6,66.66666666666666
Division,USAW Junior Folkstyle,3,6,50
Division,USAW Junior Freestyle,3,7,42.857142857142854
Division,"Varisty ",156,221,70.58823529411765
Division,Varisty Girls,1,1,100
Division,Varsity,8364,11723,71.34692484858824
Division,Varsity A,128,158,81.0126582278481
Division,Varsity B,156,212,73.58490566037736
Division,Varsity Boys,3077,4132,74.46757018393029
Division,Varsity Championship,28,59,47.45762711864407
Division,Varsity Cross Over,13,18,72.22222222222221
Division,Varsity Cross-Overs,25,38,65.78947368421053
Division,Varsity day one,50,62,80.64516129032258
Division,Varsity Girls,540,710,76.05633802816901
Division,Varsity Girls A,85,113,75.22123893805309
Division,Varsity Girls B,3,7,42.857142857142854
Division,VARSITY WOMEN,83,108,76.85185185185185
Division,Varsity/JV Boys,44,70,62.857142857142854
Division,WGMSAC,2,2,100
Division,WOMEN,759,919,82.58977149075082
Division,Women 14U,1,1,100
Division,Women 16U,1,1,100
Division,Women`s 5th - 8 Grade,55,66,83.33333333333334
Division,Women`s 5th - 8th Grade,28,39,71.7948717948718
Division,Women`s 5th-8th Grade,1,1,100
Division,Women`s 6th-7th-8th grade,12,12,100
Division,Women`s High School,69,84,82.14285714285714
Division,Women`s HS 9/10/11/12,4,6,66.66666666666666
Division,Women`s HS/ JV,6,8,75
Division,Women`s K-1st-2nd grade,2,2,100
Division,Womens,56,72,77.77777777777779
Division,Womens 14U,5,7,71.42857142857143
Division,Womens 16U,12,19,63.1578947368421
Division,"Womens High School ",31,45,68.88888888888889
Division,Womens Jr,12,14,85.71428571428571
Division,Wrestlers,49,86,56.97674418604651
Month,1,96321,124118,77.60437648044602
Month,10,4489,6517,68.88138714132269
Month,11,34240,44531,76.89025622599986
Month,12,88900,117456,75.68791717749626
Month,2,106482,134612,79.10290315870799
Month,3,19120,24879,76.85196350335625
Month,4,9014,12280,73.40390879478828
Month,5,7292,9889,73.73849732025482
